Id,First Emotion,Second Emotion,Third Emotion,anger,contempt,disgust,fear,disappointment,shame,regret,sadness,compassion,relief,admiration,love,contentment,joy,pride,amusement,interest
354,,,,3,0,4,2,4,2,2,0,1,3,4,2,3,1,4,2,3
355,,,,3,0,2,0,1,1,0,1,2,4,0,4,2,4,1,0,0
356,,,,3,4,4,0,2,4,4,3,3,2,1,1,4,0,4,1,0
357,,,,3,2,2,3,2,2,4,1,0,1,4,0,4,0,2,2,1
358,,,,1,0,4,3,4,1,2,2,0,2,2,2,3,4,4,0,1
359,,,,3,2,0,3,1,1,2,1,0,3,2,0,0,1,4,4,2
360,,,,0,0,1,3,1,4,4,1,0,3,4,2,3,4,3,3,3
361,,,,4,2,3,4,0,3,3,0,2,4,2,2,2,4,0,0,3
362,,,,4,4,2,1,1,1,4,2,2,1,1,1,0,0,0,0,4
363,,,,0,1,2,2,0,0,3,4,3,4,2,0,4,2,2,0,3
364,,,,4,2,0,1,2,2,1,2,4,0,0,4,2,2,0,4,2
365,,,,3,0,0,4,1,2,0,4,4,0,3,1,3,2,3,1,0
366,,,,4,0,3,3,0,0,2,2,0,4,3,2,2,4,4,1,3
367,,,,3,4,4,2,4,4,3,0,1,1,2,1,0,1,2,1,2
368,,,,4,4,0,1,3,3,3,3,0,0,2,4,0,0,4,4,1
369,,,,4,4,4,2,2,3,1,1,0,1,2,0,2,0,0,3,3
370,,,,2,4,3,4,0,1,2,0,0,0,2,3,1,3,2,4,1
371,,,,3,2,4,0,0,3,2,0,0,2,3,3,4,4,4,0,2
372,,,,2,1,2,0,2,4,4,1,2,1,0,2,3,2,3,2,4
373,,,,3,1,1,2,3,3,1,4,1,2,3,0,2,1,4,1,1
374,,,,2,1,4,3,3,0,4,1,2,0,1,3,1,0,4,2,0
375,,,,2,1,0,0,0,2,4,3,4,0,4,3,3,4,2,2,2
376,,,,0,3,0,3,3,3,0,3,3,4,3,2,4,3,2,2,4
377,,,,0,4,3,1,0,2,3,3,4,2,2,4,0,0,1,4,0
378,,,,2,3,0,0,4,3,1,0,3,0,0,3,2,3,3,3,3
379,,,,0,2,1,0,2,1,0,0,1,4,3,4,0,4,0,1,3
380,,,,1,1,1,4,2,0,4,0,3,4,0,4,0,4,3,1,0
381,,,,3,4,0,2,4,2,4,4,0,3,4,1,3,0,2,0,2
382,,,,3,1,3,1,0,4,0,0,4,1,2,1,0,3,2,0,3
383,,,,4,1,0,0,0,2,3,0,4,3,3,4,4,1,1,4,3
384,,,,0,4,4,0,1,4,1,3,4,0,1,4,2,2,2,1,2
385,,,,3,3,1,2,4,1,3,3,2,2,1,1,0,3,0,3,3
386,,,,0,3,3,2,3,2,3,2,0,3,0,1,0,3,0,3,4
387,,,,4,4,1,3,1,1,3,4,3,2,4,4,3,3,3,4,3
388,,,,3,2,0,0,2,1,2,2,2,1,1,2,1,1,1,0,1
389,,,,1,4,4,0,3,4,4,0,4,3,3,3,4,3,4,0,3
390,,,,2,3,2,0,3,1,3,1,1,4,3,4,0,4,4,0,2
391,,,,0,4,2,0,4,2,1,4,3,2,0,3,1,3,0,1,1
392,,,,4,3,3,3,3,1,0,2,3,1,2,3,1,0,3,2,1
393,,,,1,3,3,3,1,3,0,3,4,0,4,2,2,4,4,3,0
394,,,,0,1,4,3,1,1,0,2,2,1,2,4,4,1,0,4,3
395,,,,0,2,4,0,2,0,2,0,3,1,4,3,1,3,0,3,2
396,,,,3,2,0,3,3,3,3,3,3,2,4,3,0,1,4,2,0
397,,,,3,3,4,3,2,1,1,0,1,2,0,3,2,1,2,0,3
398,,,,3,3,1,3,4,3,2,0,3,2,2,0,3,2,2,1,3
399,,,,4,3,0,2,2,2,2,1,3,2,0,4,2,1,3,1,1
400,,,,4,2,4,4,1,3,2,2,0,0,1,4,4,3,3,0,2
401,,,,0,3,2,1,2,1,1,0,0,2,1,4,4,3,3,2,1
402,,,,4,0,1,2,2,0,2,0,3,4,2,1,2,1,1,3,1
403,,,,1,3,0,0,4,3,0,1,3,0,3,4,0,0,1,2,1
404,,,,0,2,3,4,0,4,2,0,4,4,4,4,2,2,0,1,0
405,,,,4,1,0,4,2,1,1,3,1,0,3,4,1,3,0,0,3
406,,,,0,2,2,4,3,1,4,1,2,2,4,1,3,2,1,2,2
407,,,,2,1,0,1,0,0,3,2,1,1,4,1,0,4,4,1,2
408,,,,1,0,0,1,3,4,4,1,0,2,0,3,4,2,4,1,1
409,,,,4,2,3,2,4,2,0,4,2,3,2,4,1,3,2,2,0
410,,,,2,1,0,3,4,0,3,2,0,3,0,1,3,1,1,2,0
411,,,,0,4,1,2,3,1,4,4,3,3,1,3,2,3,0,3,1
412,,,,3,1,2,0,2,0,1,2,4,3,4,1,2,2,1,0,2
413,,,,0,1,1,3,3,3,1,3,3,2,1,0,4,4,0,1,3
414,,,,0,0,2,3,4,4,1,1,2,4,4,0,0,3,3,0,2
415,,,,3,2,3,4,3,4,3,0,0,4,0,0,2,3,1,0,2
416,,,,0,1,0,3,0,0,0,2,3,0,2,2,0,1,0,3,4
417,,,,0,2,2,0,1,3,4,4,0,1,1,3,0,1,3,4,3
418,,,,0,0,4,3,0,3,4,2,2,1,0,0,4,4,3,0,3
419,,,,3,4,0,0,4,2,4,2,2,3,2,1,1,2,2,2,2
420,,,,2,3,0,2,1,2,3,1,1,1,3,4,4,0,1,0,0
421,,,,2,2,0,2,0,0,3,4,2,3,1,3,3,4,0,1,4
422,,,,2,2,3,2,1,3,1,3,3,3,3,1,4,1,2,0,1
423,,,,4,3,3,2,0,2,3,4,1,2,4,4,0,0,0,3,0
424,,,,0,0,0,1,2,3,3,3,4,1,4,2,0,0,2,0,3
425,,,,4,2,0,3,0,1,4,2,4,4,4,4,3,4,3,1,3
426,,,,3,0,4,4,4,1,4,4,2,4,1,3,1,0,4,1,0
427,,,,2,0,1,2,1,1,2,1,4,0,1,4,1,2,3,0,1
428,,,,4,3,2,0,0,3,0,0,2,1,3,2,3,4,3,1,0
429,,,,4,2,1,3,3,3,1,3,4,0,4,4,1,1,4,2,0
430,,,,1,3,0,0,3,4,0,1,1,3,4,2,2,3,3,1,3
431,,,,1,0,1,4,4,3,4,4,0,3,1,2,3,4,3,1,3
432,,,,1,1,4,0,0,4,2,2,1,3,0,1,3,4,3,1,3
433,,,,3,4,4,0,4,0,0,1,1,4,3,0,0,4,3,1,0
434,,,,1,2,3,4,3,1,2,4,4,2,3,4,0,4,3,0,0
435,,,,2,4,1,1,1,4,0,3,3,3,1,3,0,4,2,3,1
436,,,,3,3,0,3,4,1,0,4,3,1,1,2,0,2,3,1,2
437,,,,4,4,1,2,1,0,4,0,0,0,0,0,0,0,3,4,1
438,,,,4,1,2,4,1,3,1,0,4,3,2,1,0,1,3,3,3
439,,,,0,1,3,1,4,4,3,1,0,1,4,4,3,3,4,0,0
440,,,,3,1,1,1,0,2,0,4,2,3,4,2,0,1,0,2,0
441,,,,0,4,4,3,2,3,4,4,1,3,1,4,1,0,2,1,0
442,,,,0,0,0,0,2,0,1,4,0,2,2,3,2,3,1,0,4
443,,,,2,3,1,0,0,3,4,4,4,1,1,4,2,0,4,1,2
444,,,,1,4,4,4,0,0,1,4,1,2,0,3,4,3,0,3,0
445,,,,3,0,3,0,1,0,3,3,3,0,2,4,3,4,0,2,1
446,,,,4,3,2,3,4,1,3,3,3,2,0,0,2,4,3,4,2
447,,,,4,4,0,2,3,4,1,3,3,3,4,2,1,1,1,3,4
448,,,,4,0,0,1,1,1,1,4,0,3,4,3,0,2,1,4,0
449,,,,3,2,3,2,2,3,3,2,4,1,4,4,3,1,2,0,2
450,,,,3,3,0,1,4,0,3,0,4,1,4,0,1,0,3,2,3
451,,,,3,2,4,3,4,4,2,0,3,3,4,0,2,3,3,1,0
452,,,,0,2,0,1,1,3,3,1,3,0,2,2,1,0,4,1,1
453,,,,4,3,3,3,0,1,3,2,1,0,3,2,3,3,0,1,0
454,,,,2,1,2,1,1,1,4,1,0,2,1,3,4,1,1,2,2
455,,,,4,4,1,3,0,0,4,1,3,4,4,3,4,1,3,3,0
456,,,,0,4,0,2,2,3,3,4,3,3,3,2,4,3,0,3,3
457,,,,0,4,4,3,4,0,4,0,0,3,4,4,3,4,3,1,2
458,,,,0,2,0,1,1,3,2,2,3,3,0,1,2,1,4,1,4
459,,,,3,1,3,0,0,4,0,1,0,4,2,4,2,4,0,0,3
460,,,,1,3,1,2,3,3,1,1,3,2,2,0,3,4,3,3,4
461,,,,1,1,0,0,4,3,3,3,0,2,0,4,2,3,1,1,1
462,,,,4,2,0,1,0,3,0,0,1,4,2,4,0,2,0,4,3
463,,,,3,2,3,1,0,0,0,3,0,2,2,3,0,4,2,3,1
464,,,,0,1,3,2,2,2,1,0,3,4,0,0,3,2,1,4,0
465,,,,2,0,3,4,4,0,3,0,0,2,2,3,0,4,4,1,1
466,,,,2,3,2,4,4,3,1,3,2,0,0,2,2,2,3,0,0
467,,,,4,4,0,1,0,3,3,2,0,2,3,1,1,2,0,4,0
468,,,,0,2,0,3,1,2,1,0,3,2,3,0,4,0,2,2,4
469,,,,4,1,2,4,1,2,3,0,2,2,2,3,1,4,4,4,0
470,,,,1,3,0,1,0,4,1,1,0,1,0,2,3,2,0,1,0
471,,,,0,0,0,2,0,3,3,1,1,4,1,1,4,3,4,1,0
472,,,,2,4,4,3,0,3,1,0,3,2,4,4,4,2,0,2,2
473,,,,1,1,2,1,0,3,3,2,3,0,4,4,3,3,1,1,3
474,,,,3,4,4,1,4,1,4,1,3,4,4,4,0,4,4,4,0
475,,,,1,0,0,1,2,4,0,4,2,3,0,1,4,2,2,2,3
476,,,,3,2,0,4,2,2,1,0,3,3,0,0,3,3,4,3,4
477,,,,1,0,2,3,4,3,4,0,2,0,1,1,3,2,3,2,0
478,,,,2,1,1,3,4,4,0,0,2,0,3,2,0,3,1,0,0
479,,,,4,2,4,1,4,1,4,0,2,1,1,0,0,2,4,4,4
480,,,,1,3,1,0,1,3,1,0,2,0,1,1,2,1,2,0,2
481,,,,2,4,2,2,3,0,2,0,2,2,2,1,0,3,4,1,0
482,,,,0,4,2,0,0,0,3,0,4,4,2,4,4,1,3,1,0
483,,,,3,0,4,1,3,1,2,3,0,3,2,2,1,0,4,3,4
484,,,,3,2,0,0,4,3,1,0,2,0,1,3,3,1,4,3,3
485,,,,2,1,1,1,4,3,4,0,1,3,1,1,4,2,3,3,1
486,,,,3,4,4,4,4,1,1,1,3,4,4,4,2,2,0,3,2
487,,,,4,0,3,0,0,0,0,2,2,2,3,4,4,2,4,0,2
488,,,,1,1,2,4,2,3,0,4,2,4,3,4,1,0,4,4,4
489,,,,0,1,2,0,2,3,3,2,0,3,2,0,2,1,1,3,1
490,,,,4,4,0,2,2,3,0,0,2,1,2,0,2,1,1,1,3
491,,,,4,3,4,4,2,1,2,4,1,4,1,1,3,0,2,0,3
492,,,,2,2,2,2,4,0,4,3,1,0,3,2,1,3,0,1,2
493,,,,3,2,0,4,3,0,3,2,1,1,4,4,3,2,2,2,1
494,,,,3,4,3,4,3,2,0,2,0,4,1,2,2,0,4,0,2
495,,,,4,2,2,0,2,2,1,0,2,0,2,3,1,4,3,2,0
496,,,,1,2,4,4,0,4,4,0,4,0,0,4,1,2,2,0,3
497,,,,4,1,2,0,3,3,1,1,4,2,3,4,4,0,0,2,1
498,,,,2,4,1,3,2,3,2,0,3,3,2,4,0,1,3,0,2
499,,,,0,0,0,4,2,2,3,2,4,2,1,2,2,4,4,4,4
500,,,,3,1,0,3,4,0,0,2,4,3,3,3,1,1,1,2,1
501,,,,1,2,4,4,3,1,2,3,4,1,3,3,3,4,2,4,4
502,,,,2,1,3,3,4,3,3,0,2,4,3,3,1,4,4,4,0
503,,,,1,2,3,0,3,1,4,1,3,1,0,2,0,2,3,2,3
504,,,,1,2,2,0,3,1,4,4,0,2,3,3,0,2,1,4,2
505,,,,1,4,3,2,2,0,4,3,3,1,0,3,0,0,2,1,2
506,,,,2,4,2,0,4,1,3,3,4,1,3,2,1,3,1,3,1
507,,,,4,4,4,1,4,0,1,0,3,0,1,2,2,4,0,2,1
508,,,,4,3,2,4,4,2,0,2,2,1,0,2,2,4,1,0,3
509,,,,1,0,0,2,0,4,3,4,0,0,4,4,0,0,3,4,1
510,,,,1,3,4,1,0,1,3,0,2,0,2,0,1,4,0,2,2
511,,,,2,0,1,3,1,1,2,4,1,2,1,1,2,1,4,3,1
512,,,,1,2,3,2,0,4,3,2,1,3,2,0,3,0,3,2,1
513,,,,1,3,4,1,1,4,1,1,4,4,2,1,0,1,0,4,2
514,,,,3,4,3,4,2,2,4,2,4,2,0,3,4,3,1,3,4
515,,,,1,4,1,4,4,1,1,0,3,0,4,2,4,0,4,4,0
516,,,,0,1,4,3,1,0,2,3,0,0,2,0,1,3,4,2,2
517,,,,3,1,1,4,4,0,1,4,1,2,4,3,2,0,1,4,3
518,,,,3,2,0,1,4,3,4,2,4,3,0,4,2,1,4,0,0
519,,,,1,3,3,0,2,2,1,2,2,4,4,2,0,2,0,0,1
520,,,,2,3,1,2,1,4,2,2,2,1,2,2,4,3,1,3,2
521,,,,1,0,0,1,0,3,4,4,0,2,0,4,1,2,3,3,0
522,,,,2,3,2,2,2,0,1,3,0,2,3,1,0,1,0,1,4
523,,,,1,3,1,2,0,2,4,1,2,3,3,0,2,3,0,4,2
524,,,,1,0,4,2,1,3,4,0,3,2,3,2,3,0,3,1,3
525,,,,4,3,2,1,1,1,2,4,3,2,3,1,0,2,2,1,0
526,,,,3,3,2,4,3,4,3,4,1,1,3,1,3,1,1,2,4
527,,,,3,3,1,2,0,3,0,1,3,2,3,3,0,2,1,1,2
528,,,,2,2,3,2,0,1,4,1,3,3,0,4,4,2,1,1,2
529,,,,4,0,4,1,0,2,4,0,1,1,0,0,4,4,3,2,3
530,,,,2,2,3,4,2,0,3,4,0,1,2,1,1,4,0,1,2
531,,,,4,2,1,2,0,2,4,1,1,3,2,0,0,1,1,2,1
532,,,,1,2,2,2,3,3,0,4,4,3,0,4,4,4,3,1,4
533,,,,2,0,1,2,1,4,1,4,4,1,1,1,2,0,3,4,3
534,,,,2,4,3,3,4,1,4,0,2,4,4,1,1,4,2,3,4
535,,,,3,4,0,0,3,3,0,3,3,2,3,3,4,3,3,3,1
536,,,,2,1,3,4,1,0,3,1,3,2,3,1,3,1,3,1,3
537,,,,3,4,2,3,2,2,4,2,1,0,1,0,1,4,1,1,4
538,,,,3,2,1,2,2,0,3,3,4,3,0,3,3,0,0,0,0
539,,,,3,2,4,4,3,3,0,0,1,4,0,1,1,4,1,1,3
540,,,,0,2,3,4,3,0,2,4,3,2,3,0,1,1,3,1,0
541,,,,3,3,2,2,1,0,4,0,2,1,0,0,4,1,3,3,3
542,,,,0,3,3,1,4,3,3,0,1,2,4,0,0,3,0,2,0
543,,,,1,3,3,3,1,0,0,3,3,1,0,0,3,3,1,2,1
544,,,,4,2,2,4,2,3,2,0,4,0,3,3,3,1,2,2,2
545,,,,3,2,0,1,3,3,2,4,1,4,4,1,4,3,3,4,4
546,,,,3,2,2,4,3,0,1,3,3,0,1,0,4,0,4,3,2
547,,,,3,1,3,0,2,0,3,4,3,0,1,0,4,4,2,2,0
548,,,,3,3,0,2,0,1,2,0,2,1,3,4,0,1,2,2,2
549,,,,2,4,0,2,3,3,4,2,3,2,2,3,4,1,0,0,4
550,,,,2,0,0,1,0,2,1,1,2,2,3,0,0,3,0,1,0
551,,,,0,2,3,1,2,0,3,2,2,3,3,0,1,0,0,3,0
552,,,,4,3,0,0,3,0,3,3,0,2,2,1,2,2,3,3,3
553,,,,0,2,1,4,1,2,0,0,4,0,4,3,0,2,1,1,2
554,,,,1,0,3,3,0,4,1,3,3,0,3,1,2,0,0,0,4
555,,,,2,0,4,3,4,0,1,3,3,1,2,2,1,2,1,2,4
556,,,,1,0,3,3,1,1,0,2,2,3,3,0,2,2,0,1,2
557,,,,2,3,4,1,0,0,1,3,4,0,1,4,0,2,2,0,0
558,,,,0,1,3,3,4,0,2,1,1,4,0,4,2,1,0,0,0
559,,,,0,4,0,3,0,0,2,0,0,1,4,4,2,0,1,1,4
560,,,,0,2,2,4,3,0,2,2,3,2,1,2,3,4,1,1,1
561,,,,0,0,0,2,3,1,4,4,0,2,2,3,3,2,2,2,4
562,,,,3,2,1,0,1,3,0,3,4,2,2,2,3,4,4,4,1
563,,,,0,4,3,2,1,3,2,0,4,3,3,1,0,0,1,3,2
564,,,,1,2,0,3,3,4,2,2,3,2,2,3,0,2,3,4,2
565,,,,4,1,3,1,4,4,0,3,4,4,3,0,2,1,4,3,4
566,,,,1,1,4,0,0,4,4,3,2,0,1,0,4,0,0,2,4
567,,,,4,1,3,0,4,2,1,3,3,1,3,0,2,3,4,4,3
568,,,,0,4,1,3,2,1,1,4,2,0,1,1,0,2,1,0,0
569,,,,3,4,1,4,4,1,4,0,1,1,4,4,2,3,2,0,1
570,,,,4,3,3,3,3,0,0,3,1,0,4,2,3,1,3,2,3
571,,,,4,3,2,0,3,1,0,2,3,1,3,4,2,2,1,1,1
572,,,,2,1,4,0,3,3,2,4,2,3,2,3,0,4,4,2,4
573,,,,3,4,1,0,1,2,0,1,0,3,0,0,1,0,3,1,0
574,,,,0,3,4,1,0,0,3,4,0,0,2,3,4,0,3,1,3
575,,,,3,2,2,2,1,4,1,1,0,2,3,4,3,1,1,3,3
576,,,,0,1,3,4,2,4,1,4,4,2,2,3,2,3,4,1,2
577,,,,3,0,4,1,4,1,3,2,2,0,1,3,1,4,1,1,4
578,,,,1,2,0,2,4,4,0,2,0,2,2,4,0,3,2,4,2
579,,,,4,4,3,3,2,1,2,1,4,1,4,4,2,3,4,4,3
580,,,,4,1,0,1,2,4,0,4,2,3,2,1,1,0,1,1,4
581,,,,3,0,4,1,4,3,1,0,3,4,0,2,3,3,2,3,4
582,,,,2,3,4,3,4,1,1,1,3,0,2,3,4,1,1,0,0
583,,,,4,4,1,1,3,4,1,4,2,1,4,2,2,2,0,2,1
584,,,,3,3,3,4,3,4,0,3,1,3,3,0,3,1,2,2,2
585,,,,2,3,3,0,3,0,4,1,2,0,0,4,3,3,3,4,1
586,,,,0,2,4,0,3,1,2,0,4,3,1,2,3,1,1,2,1
587,,,,2,1,3,4,0,3,0,0,4,3,1,0,4,0,4,4,2
588,,,,2,4,3,2,4,1,1,4,4,0,1,1,0,3,0,1,4
589,,,,2,2,4,2,1,2,4,3,2,0,4,1,3,4,3,2,2
590,,,,1,3,1,3,3,2,3,2,1,0,2,3,4,0,3,4,0
591,,,,3,3,2,4,1,3,4,0,2,2,1,2,4,1,0,4,4
592,,,,0,0,2,2,3,0,0,0,4,1,3,1,0,0,0,1,3
593,,,,3,1,0,1,4,3,0,4,4,3,4,4,3,2,4,0,1
594,,,,2,0,0,3,4,2,1,4,3,3,3,0,3,4,3,4,4
595,,,,2,0,0,3,1,0,2,4,1,1,2,3,2,2,0,2,1
596,,,,2,1,4,3,3,3,0,1,2,0,3,1,4,0,2,0,2
597,,,,0,0,2,4,4,1,0,3,3,0,2,2,2,2,2,3,1
598,,,,0,2,0,3,0,1,1,0,1,3,4,2,1,4,1,3,3
599,,,,3,0,1,3,4,1,1,3,2,0,1,4,1,3,0,3,0
600,,,,3,2,4,1,1,0,2,0,2,4,2,0,3,1,4,3,3
601,,,,4,2,4,0,3,1,0,0,1,0,4,0,0,2,2,4,3
602,,,,2,2,2,4,2,2,3,3,1,4,4,2,2,4,2,4,4
603,,,,1,1,2,4,3,2,0,2,3,0,4,1,4,4,4,1,1
604,,,,2,3,2,2,2,4,2,3,3,4,2,3,1,1,0,2,2
605,,,,3,0,2,0,4,2,1,2,1,2,0,4,2,1,0,3,1
606,,,,3,3,4,0,3,0,4,1,0,0,2,3,1,0,1,2,3
607,,,,2,0,1,2,1,0,0,2,2,1,4,4,2,1,3,0,4
608,,,,4,3,1,2,2,4,3,3,2,0,1,2,0,0,4,3,3
609,,,,2,4,0,0,2,3,0,3,4,4,4,2,1,2,4,2,4
610,,,,1,3,2,2,1,4,2,4,0,4,3,3,0,3,2,3,4
611,,,,1,4,2,1,0,4,1,0,4,4,1,0,0,1,4,4,1
612,,,,4,2,1,3,3,0,1,2,2,2,0,1,3,4,3,4,0
613,,,,1,3,3,3,0,2,4,1,4,4,3,1,1,0,1,1,1
614,,,,3,3,2,3,2,4,2,2,2,1,3,2,4,0,4,3,4
615,,,,2,2,4,2,3,1,4,2,3,1,2,2,3,0,1,0,1
616,,,,0,1,0,0,3,1,4,2,1,1,0,0,2,2,0,3,4
617,,,,3,2,1,4,4,0,4,1,4,3,1,0,0,3,1,2,0
618,,,,3,1,0,4,4,1,4,0,0,4,4,3,1,0,0,4,0
619,,,,0,3,4,0,0,4,0,1,1,1,3,0,4,0,0,2,4
620,,,,1,3,0,1,3,1,3,2,0,2,0,2,3,2,2,4,1
621,,,,1,1,0,1,2,4,1,4,2,3,0,2,0,0,4,3,2
622,,,,4,0,2,0,4,2,3,4,0,0,4,0,3,1,0,1,0
623,,,,0,2,0,1,3,3,1,3,1,3,3,3,0,2,4,2,4
624,,,,1,1,4,3,3,3,3,0,0,2,0,0,4,4,3,2,4
625,,,,4,0,4,4,3,3,1,0,3,1,1,0,3,4,3,3,4
626,,,,2,4,0,0,3,3,2,3,0,0,4,0,2,3,2,3,0
627,,,,0,4,0,3,4,1,1,1,1,1,0,2,3,1,3,0,1
628,,,,2,1,1,0,2,4,4,4,4,3,3,1,3,1,2,1,1
629,,,,0,3,0,1,0,0,1,0,1,4,3,2,0,4,0,4,1
630,,,,4,2,0,1,3,4,4,0,0,2,1,2,0,0,4,4,1
631,,,,3,1,2,3,1,0,0,2,1,4,0,4,3,4,3,1,4
632,,,,0,0,4,3,0,0,2,4,4,4,3,3,4,0,3,1,1
633,,,,2,4,1,4,0,1,4,0,2,4,4,2,4,0,0,3,3
634,,,,0,3,0,4,0,3,2,1,4,0,2,3,1,4,3,0,0
635,,,,3,2,4,4,3,3,1,4,1,3,3,4,0,1,0,1,4
636,,,,0,4,2,3,0,4,2,0,2,1,4,3,3,0,1,2,2
637,,,,4,4,2,3,4,3,2,3,2,1,1,0,2,3,2,3,2
638,,,,2,3,4,4,1,0,1,0,2,0,0,1,0,2,4,0,2
639,,,,0,1,0,3,2,4,2,3,3,2,2,1,3,3,0,4,0
640,,,,0,0,1,3,1,4,0,1,3,4,0,4,4,0,4,2,4
641,,,,3,4,1,0,3,4,0,2,4,1,2,0,1,1,2,1,1
642,,,,0,4,2,2,2,1,3,4,1,3,0,2,2,3,3,3,1
643,,,,1,3,3,1,3,1,1,3,2,0,1,2,0,3,1,3,1
644,,,,2,1,4,1,1,0,0,4,4,2,0,4,4,1,0,1,0
645,,,,1,2,2,4,3,4,4,0,4,3,0,3,2,3,1,2,3
646,,,,4,0,3,1,1,0,1,0,3,1,4,3,4,0,3,4,1
647,,,,2,2,0,4,1,1,1,2,0,0,4,4,4,2,3,4,1
648,,,,0,0,0,4,0,3,0,2,1,1,4,2,2,0,2,0,0
649,,,,0,2,4,1,3,2,3,1,3,3,2,4,2,3,4,1,4
650,,,,4,2,2,3,4,1,4,2,1,0,2,1,2,0,1,2,3
651,,,,4,3,0,0,0,1,3,1,2,0,1,1,0,0,0,4,4
652,,,,2,4,0,0,0,2,2,4,0,2,4,0,1,4,1,2,0
653,,,,4,1,2,2,2,4,3,2,4,0,1,2,4,3,2,3,1
654,,,,4,2,2,4,4,3,2,3,3,2,3,2,0,3,3,4,4
655,,,,0,1,3,3,3,4,1,2,4,1,2,3,1,2,3,2,2
656,,,,3,3,2,3,0,4,0,3,0,1,0,2,4,3,1,0,4
657,,,,4,4,4,0,1,1,4,3,3,4,4,1,3,0,1,0,0
658,,,,2,1,4,1,2,0,1,0,1,0,4,0,1,0,3,1,4
659,,,,3,1,4,3,0,4,3,4,2,1,3,3,1,4,2,4,1
660,,,,2,0,0,2,4,3,2,4,4,1,4,0,2,3,4,0,4
661,,,,3,4,0,2,1,4,1,2,4,1,3,4,0,4,0,1,0
662,,,,1,4,4,3,1,3,1,2,2,4,4,4,3,3,4,2,2
663,,,,0,0,3,2,1,1,1,3,3,0,1,2,2,0,2,1,3
664,,,,2,2,4,1,1,2,3,0,3,3,0,1,0,2,1,4,4
665,,,,3,0,0,0,2,4,4,2,0,3,4,0,3,2,0,2,1
666,,,,0,4,0,2,2,2,0,1,3,4,4,4,0,0,2,3,3
667,,,,0,4,1,3,1,4,4,4,2,2,4,4,4,2,1,1,2
668,,,,0,1,4,1,1,3,4,0,0,3,0,0,2,4,4,4,1
669,,,,0,0,3,3,2,0,4,3,0,1,3,4,2,1,2,3,4
670,,,,0,4,2,4,0,4,0,3,4,1,4,0,1,3,1,0,0
671,,,,3,4,2,3,2,1,4,4,0,0,2,3,1,0,2,3,2
672,,,,1,0,0,1,0,2,1,2,3,4,4,1,0,2,4,0,0
673,,,,0,4,0,0,3,1,4,1,3,2,1,2,3,3,4,2,3
674,,,,2,3,1,3,3,2,0,0,2,0,2,4,1,0,0,0,2
675,,,,0,1,3,1,0,4,2,3,0,3,4,1,2,0,3,2,3
676,,,,4,4,3,3,4,2,4,2,0,3,1,4,4,4,3,4,0
677,,,,2,3,4,3,4,4,3,2,1,2,2,1,1,3,1,2,4
678,,,,4,4,4,3,2,0,4,3,1,1,0,3,1,0,3,0,3
679,,,,0,4,2,3,0,3,0,4,2,0,4,4,1,2,0,0,0
680,,,,0,2,2,3,4,2,0,3,2,4,3,0,1,1,1,0,1
681,,,,3,4,1,2,1,3,1,0,1,0,3,3,1,2,1,3,1
682,,,,1,2,3,2,4,0,4,0,1,4,1,3,1,0,1,2,1
683,,,,1,0,2,1,3,0,1,3,0,0,3,4,3,3,1,1,3
684,,,,0,2,1,3,4,4,3,1,3,0,0,4,1,3,1,1,1
685,,,,2,0,2,0,0,0,3,2,0,2,2,1,3,0,1,3,0
686,,,,4,4,2,0,0,4,4,4,1,3,0,4,2,3,0,4,4
687,,,,1,2,2,0,4,4,4,2,3,2,2,0,3,0,4,2,2
688,,,,4,0,4,2,1,0,4,0,2,2,1,1,3,1,3,0,1
689,,,,1,1,1,4,4,4,0,3,1,0,4,1,0,0,0,2,0
690,,,,1,1,1,3,4,2,4,2,1,1,0,4,1,2,2,4,2
691,,,,0,3,4,1,3,0,4,2,1,1,4,0,1,0,1,3,1
692,,,,0,0,4,3,0,4,1,1,1,4,0,2,2,0,4,4,0
693,,,,2,3,3,3,0,3,2,1,2,1,1,3,4,2,3,1,4
694,,,,1,3,3,2,0,0,3,3,3,4,3,1,4,3,0,2,4
695,,,,0,4,1,1,4,4,2,3,2,1,0,2,0,0,1,1,3
696,,,,4,0,2,3,1,4,3,0,3,2,0,2,1,4,3,1,2
697,,,,4,0,4,1,2,0,0,2,3,1,1,2,4,0,0,3,2
698,,,,4,2,0,2,1,4,2,4,3,3,4,4,1,2,0,1,0
699,,,,0,1,2,4,0,3,4,1,1,0,1,1,0,0,3,3,0
700,,,,1,0,3,4,0,2,4,0,0,4,3,1,0,3,0,2,3
701,,,,0,1,0,0,2,3,3,3,3,1,4,3,0,0,4,1,0
702,,,,1,1,0,1,3,3,4,0,4,0,3,4,4,4,2,2,0
703,,,,0,0,0,2,2,4,2,4,3,1,1,4,0,4,2,3,4
704,,,,2,4,4,3,1,2,4,1,0,2,1,1,1,0,2,4,4
705,,,,0,3,0,0,3,4,4,2,1,3,1,0,1,2,3,3,2
706,,,,4,0,3,1,0,4,1,1,4,1,3,2,4,1,4,0,1
707,,,,1,4,2,0,4,3,4,4,2,2,4,2,0,0,2,4,1
708,,,,3,1,4,4,2,0,4,3,1,0,0,1,2,2,1,3,2
709,,,,4,3,4,4,3,1,0,0,1,1,4,0,1,3,4,4,4
